Timestamp(s),Radar_State,Mic_Trigger,Fused_System_State
261.62,1,0,1
261.81,1,0,1
262.01,1,0,1
262.21,1,0,1
262.41,1,0,1
262.61,1,0,1
262.81,1,0,1
263.01,1,0,1
263.21,1,0,1
263.42,1,0,1
263.62,1,0,1
263.82,1,0,1
264.02,1,0,1
264.21,1,0,1
264.41,1,0,1
264.61,1,0,1
264.81,1,0,1
265.01,1,0,1
265.21,1,0,1
265.42,1,0,1
265.62,1,0,1
265.81,1,0,1
266.02,1,0,1
266.22,1,0,1
266.41,1,0,1
266.62,1,0,1
266.81,1,0,1
267.02,1,0,1
267.22,1,0,1
267.42,1,0,1
267.61,1,0,1
267.81,1,0,1
268.02,1,0,1
268.21,1,0,1
268.41,1,0,1
268.61,1,0,1
268.81,1,0,1
269.01,1,0,1
269.22,1,0,1
269.42,1,0,1
269.62,1,1,1
269.82,1,0,1
270.02,1,0,1
270.22,1,0,1
270.42,1,0,1
270.61,1,0,1
270.81,1,0,1
271.01,1,0,1
271.22,1,0,1
271.42,1,0,1
271.61,1,0,1
271.81,1,0,1
272.02,1,0,1
272.22,1,0,1
272.42,1,0,1
272.61,1,0,1
272.81,1,0,1
273.01,1,0,1
273.22,1,0,1
273.41,1,0,1
273.61,1,0,1
273.81,1,0,1
274.01,1,0,1
274.21,1,0,1
274.41,1,0,1
274.61,1,0,1
274.81,1,0,1
275.01,1,0,1
275.21,1,0,1
275.41,1,0,1
275.61,1,0,1
275.81,1,0,1
276.01,1,0,1
